Module                  Size  Used by
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_intel8x0           53248  1
snd_ac97_codec        196608  1 snd_intel8x0
ac97_bus               12288  1 snd_ac97_codec
qrtr                   53248  2
snd_pcm               200704  2 snd_intel8x0,snd_ac97_codec
intel_rapl_msr         20480  0
snd_seq_midi           24576  0
intel_rapl_common      53248  1 intel_rapl_msr
snd_seq_midi_event     16384  1 snd_seq_midi
snd_rawmidi            57344  1 snd_seq_midi
intel_uncore_frequency_common    20480  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
intel_pmc_core        135168  0
pmt_telemetry          16384  1 intel_pmc_core
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
pmt_discovery          20480  1 pmt_telemetry
pmt_class              20480  2 pmt_telemetry,pmt_discovery
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
polyval_clmulni        12288  0
ghash_clmulni_intel    12288  0
aesni_intel            98304  0
rapl                   20480  0
snd                   143360  11 snd_seq,snd_seq_device,snd_intel8x0,snd_timer,snd_ac97_codec,snd_pcm,snd_rawmidi
soundcore              16384  1 snd
i2c_piix4              32768  0
vboxguest              57344  0
i2c_smbus              20480  1 i2c_piix4
joydev                 32768  0
input_leds             12288  0
serio_raw              20480  0
mac_hid                12288  0
binfmt_misc            24576  1
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
efi_pstore             12288  0
parport                73728  3 parport_pc,lp,ppdev
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_generic            12288  0
vboxvideo              36864  1
vga16fb                32768  0
ahci                   49152  1
drm_vram_helper        24576  1 vboxvideo
usbhid                 77824  0
hid                   262144  2 usbhid,hid_generic
e1000                 180224  0
drm_ttm_helper         16384  3 drm_vram_helper,vboxvideo
psmouse               217088  0
vgastate               20480  1 vga16fb
ttm                   126976  2 drm_vram_helper,drm_ttm_helper
libahci                53248  1 ahci
video                  77824  0
pata_acpi              12288  0
wmi                    28672  1 video
